,question_id,correctly_answered,incorrectly_answered,not_answered,avg_marks_correct,avg_marks_incorrect,avg_marks_na,f1,f2
1314,1315,51,148,52,33.5098,18.5338,24.6857,0.0029874264123436766,0.11624338869022749
1315,1316,194,83,21,29.2887,14.5301,18.8209,0.010423493137092898,0.36243168415821947
1316,1317,157,115,19,38.0446,23.1391,25.8571,0.010072760375822434,0.42804532150972796
1317,1318,64,238,3,37.2031,23.3782,22.9167,0.004034909723910398,0.1729964309434899
1318,1319,216,102,12,30.9907,16.5098,20.6792,0.012007392125853769,0.4404281552128795
1319,1320,140,115,29,25.1429,16.5043,19.0538,0.006783868233232929,0.21334169876623096
1320,1321,153,102,26,31.7451,15.4902,23.4565,0.008665486201221583,0.3171906908199221
1321,1322,110,185,11,35.1273,23.3622,23.24,0.006646783768210786,0.27100327799691987
1322,1323,110,168,16,42.4636,20.25,20.7761,0.0076309949541294615,0.3524834903530025
1323,1324,200,67,12,36.48,14.9552,24.3509,0.01242953501484312,0.5163896860885643
1324,1325,224,67,10,31.8839,19.8507,17.8793,0.012714540303364169,0.4684342026720431
1325,1326,143,146,13,31.035,18.0274,22.7018,0.007942690309364795,0.2922227830172273
1326,1327,88,131,37,34.0568,17.3588,21.5,0.005259197742850758,0.2056447628631405
1327,1328,179,153,8,33.9497,19.6732,16.6444,0.010644977114449712,0.41568307284090755
1328,1329,239,58,3,30.4184,16.8276,20.1875,0.013072346529664682,0.47555348694340416
1329,1330,87,169,41,32.7816,26.2781,23.1089,0.00502582479954029,0.19514768606939528
1330,1331,69,140,47,31.971,25.8857,22.7398,0.003931898986166836,0.14902912720036196
1331,1332,52,99,62,32.1538,22.3939,24.5856,0.0029669026541027576,0.11332171425287722
1332,1333,121,122,47,31.2645,15.7459,20.625,0.006782849855937608,0.25456576933952796
1333,1334,69,172,27,33.8551,21.9651,25.6275,0.004096055097219309,0.16075540029232138
1334,1335,126,157,26,33.5397,24.6433,21.3553,0.007403394021853658,0.2813302526831345
1335,1336,180,109,11,32.0111,19.5963,18.5278,0.010224230597305504,0.3773787049775422
1336,1337,122,98,29,40.6803,21.3571,26.2818,0.008145083776429207,0.3647401695791973
1337,1338,70,171,30,35.0,17.1111,25.4222,0.004257450733259199,0.16760203327172887
1338,1339,53,177,36,42.4528,25.3277,26.3902,0.0035427954268852937,0.17603211692778803
1339,1340,120,136,21,32.2083,17.4338,22.8765,0.006857749844102666,0.2610515211056712
1340,1341,150,102,35,33.0267,18.3627,22.6905,0.008657707690196399,0.343238568880914
1341,1342,127,117,30,39.4646,21.0171,24.1157,0.008314883584331885,0.364748543904044
1342,1343,136,134,24,33.9118,18.097,18.64,0.008122386832928104,0.31248565409809564
1343,1344,100,143,41,34.5,19.5874,21.8288,0.005932240110107815,0.24074568527855775
1344,1345,154,88,36,38.3896,13.6591,19.2348,0.009900946085136081,0.42832803747915243
1345,1346,65,166,49,33.0,23.0964,24.3306,0.0037826678602851877,0.14727482877800563
1346,1347,177,98,29,32.0282,22.8061,21.2299,0.010154759788779178,0.3704636032668396
1347,1348,99,191,15,28.4646,21.0419,18.519,0.005193179499919753,0.18803792187509555
1348,1349,104,129,32,31.5288,20.4264,22.4457,0.005861790702069686,0.21758323466835663
1349,1350,261,42,15,25.6552,10.7143,17.3519,0.012864124095276284,0.39871334758023486
1350,1351,59,200,36,30.1186,26.66,24.6509,0.003229237764723655,0.11501913260452702
1351,1352,57,165,45,34.1228,20.3818,23.5431,0.0033579962058236166,0.1341341786352954
1352,1353,83,159,19,35.241,19.9497,23.5802,0.005027636725506427,0.205739277731131
1353,1354,91,159,30,35.044,19.7987,22.1165,0.005499881392829864,0.22769967145598038
1354,1355,188,118,16,30.1968,13.4661,17.4032,0.010199721082005123,0.3762813254218632
1355,1356,48,160,42,33.0208,21.8375,25.1746,0.0027263418080263,0.1112134205835702
1356,1357,145,128,29,28.4552,18.0938,19.4118,0.007581233967247939,0.26017112129739606
